SEMESTER,SUBJECT,CATALOGNUMBER,LOCATION,ENROLMENTCAPACITY,ENROLMENTTOTAL,INSTRUCTORS,COMPONENTCODE
1181,ENSC    ,703,VAN       ,5,0,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
1181,ENSC    ,416,BURNABY   ,70,31,Lakshman One                                                                                                                                                                                                                                              ,TUT
1164,MSE     ,411,SURREY    ,33,0,Flavio Firmani                                                                                                                                                                                                                                            ,OPL
1171,MSE     ,921,SURREY    ,0,0,. TBD                                                                                                                                                                                                                                                     ,OPL
1181,CMPT    ,295,BURNABY   ,26,25,Bradley Bart                                                                                                                                                                                                                                              ,LAB
1164,CMPT    ,295,BURNABY   ,26,16,Anthony Dixon                                                                                                                                                                                                                                             ,LAB
1161,CMPT    ,295,BURNABY   ,25,0,Anthony Dixon                                                                                                                                                                                                                                             ,LAB
1171,CMPT    ,295,SURREY    ,24,17,Harinder Khangura                                                                                                                                                                                                                                         ,LAB
1147,ENSC    ,251,BURNABY   ,192,158,Lesley Shannon                                                                                                                                                                                                                                            ,TUT
1157,ENSC    ,251,BURNABY   ,250,254,Lesley Shannon                                                                                                                                                                                                                                            ,TUT
1164,CMPT    ,295,BURNABY   ,26,20,Anthony Dixon                                                                                                                                                                                                                                             ,LAB
1154,MSE     ,405W      ,SURREY    ,100,79,Maureen Hindy                                                                                                                                                                                                                                             ,LEC
1157,MSE     ,900,SURREY    ,10,3,Kevin Oldknow                                                                                                                                                                                                                                             ,LEC
1157,MATH    ,125,BURNABY   ,25,4,Nilima Nigam                                                                                                                                                                                                                                              ,LEC
1164,ENSC    ,251,BURNABY   ,134,113,William Scratchley                                                                                                                                                                                                                                        ,LEC
1174,ENSC    ,251,BURNABY   ,121,107,William Scratchley                                                                                                                                                                                                                                        ,LEC
1164,ENSC    ,254,BURNABY   ,124,105,William Scratchley                                                                                                                                                                                                                                        ,TUT
1151,MSE     ,480,SURREY    ,37,36,Kevin Oldknow                                                                                                                                                                                                                                             ,LAB
1167,MSE     ,250,SURREY    ,0,1,Ahmad Rad                                                                                                                                                                                                                                                 ,LAB
1164,MSE     ,312,SURREY    ,35,30,"Amr Marzouk, Krishna Vijayaraghavan, Mehrdad Moallem                                                                                                                                                                                                      ",LAB
1164,MSE     ,300,SURREY    ,120,117,Kevin Oldknow                                                                                                                                                                                                                                             ,LEC
1144,MSE     ,490,SURREY    ,22,21,Jiacheng Wang                                                                                                                                                                                                                                             ,LAB
1174,MSE     ,300,SURREY    ,120,79,Kevin Oldknow                                                                                                                                                                                                                                             ,LEC
1141,MSE     ,492,SURREY    ,75,58,Gary Wang                                                                                                                                                                                                                                                 ,SEM
1151,CMPT    ,628,OFF       ,5,0,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
1167,CMPT    ,628,OFF       ,15,1,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
1167,CMPT    ,127,BURNABY   ,60,60,Richard Vaughan                                                                                                                                                                                                                                           ,LAB
1164,ENSC    ,701,OFF       ,10,0,Harriet Chicoine                                                                                                                                                                                                                                          ,PRA
1181,ENSC    ,180,BURNABY   ,200,148,Nimal Rajapakse                                                                                                                                                                                                                                           ,LEC
1144,CMPT    ,166,SURREY    ,48,43,Toby Donaldson                                                                                                                                                                                                                                            ,LEC
1154,ENSC    ,254,BURNABY   ,36,35,Fabio Campi                                                                                                                                                                                                                                               ,LAB
1147,ENSC    ,252,BURNABY   ,0,0,Lakshman One                                                                                                                                                                                                                                              ,LAB
1171,ENSC    ,180,BURNABY   ,250,209,William Scratchley                                                                                                                                                                                                                                        ,LAB
1171,CMPT    ,127,BURNABY   ,64,64,Anne Lavergne                                                                                                                                                                                                                                             ,LAB
1181,CMPT    ,127,BURNABY   ,65,68,Richard Vaughan                                                                                                                                                                                                                                           ,LAB
1157,CMPT    ,127,BURNABY   ,64,63,Richard Vaughan                                                                                                                                                                                                                                           ,LAB
1147,MSE     ,100,SURREY    ,40,39,Krishna Vijayaraghavan                                                                                                                                                                                                                                    ,LAB
1147,MSE     ,100,SURREY    ,40,0,Krishna Vijayaraghavan                                                                                                                                                                                                                                    ,OPL
1164,MSE     ,711,SURREY    ,1,1,Mohammad Amin Rasouli                                                                                                                                                                                                                                     ,LAB
1164,MSE     ,725,SURREY    ,5,0,Woo Soo Kim                                                                                                                                                                                                                                               ,LEC
1137,MSE     ,250,SURREY    ,50,49,Ahmad Rad                                                                                                                                                                                                                                                 ,LAB
1174,MSE     ,312,SURREY    ,40,3,"Krishna Vijayaraghavan, Mehrdad Moallem, Mohammad Narimani, Siamak Arzanpour                                                                                                                                                                              ",LAB
1161,MSE     ,210,SURREY    ,43,41,Flavio Firmani                                                                                                                                                                                                                                            ,LAB
1167,MSE     ,221,SURREY    ,94,92,Gary Wang                                                                                                                                                                                                                                                 ,LEC
1147,MSE     ,221,SURREY    ,48,45,Flavio Firmani                                                                                                                                                                                                                                            ,LAB
1154,MSE     ,481,SURREY    ,100,89,Kevin Oldknow                                                                                                                                                                                                                                             ,LEC
1144,MSE     ,381,SURREY    ,41,37,Siamak Arzanpour                                                                                                                                                                                                                                     ,LEC
